cesar,1. intr. Dicho de una cosa: Interrumpirse o acabarse. La lluvia no cesó hasta la noche.
chapuzar,1. tr. Meter a alguien de cabeza en el agua. U. t. c. intr. y c. prnl.
charlar,"1. intr. Conversar, platicar."
chicotear,"1. tr. Arg., Bol., Chile, Ec., El Salv., Guat., Hond., Méx., Nic., Par., Perú y Ur. Dar chicotazos."
chillar,1. intr. Dar chillidos.
chirriar,"1. intr. Dicho de una cosa: Hacer un ruido agudo, continuado y desagradable, generalmente al rozar con otra cosa. La puerta, los frenos chirrían."
chispear,"1. intr. impers. Llover muy poco, cayendo solo algunas gotas pequeñas."
chisporrotear,1. intr. coloq. Dicho del fuego o de un cuerpo encendido: Despedir chispas reiteradamente.
chocar,"1. intr. Dicho de dos cosas: Encontrarse violentamente una con otra, como una bala contra la muralla, un buque con otro, etc."
chorrear,1. intr. Dicho de un líquido: Caer formando chorro.
chupar,1. tr. Sacar o traer con los labios y la lengua el jugo o la sustancia de algo. U. t. c. intr.
circular,1. adj. Perteneciente o relativo al círculo.
circuncidar,1. tr. Cortar circularmente una porción del prepucio a alguien.
circundar,"1. tr. Cercar, rodear algo o a alguien."
clarificar,"1. tr. Iluminar, alumbrar."
clausurar,1. tr. cerrar (‖ poner fin).
clavar,"1. tr. Introducir un clavo u otra cosa aguda, a fuerza de golpes, en un cuerpo."
cobijar,"1. tr. Dar refugio, guarecer a alguien, generalmente de la intemperie. U. t. c. prnl."
cocear,1. intr. Dar o tirar coces.
cocer,1. tr. Hacer comestible un alimento crudo sometiéndolo a ebullición o a la acción del vapor.
cocinar,"1. tr. Guisar, aderezar los alimentos. U. t. c. intr."
codiciar,1. tr. Desear con ansia riquezas u otras cosas.
coger,"1. tr. Asir, agarrar o tomar algo o a alguien. U. t. c. prnl."
cohabitar,1. intr. Habitar juntamente con otra u otras personas.
coincidir,"1. intr. Dicho de una cosa: Convenir con otra, ser conforme con ella."
colaborar,1. intr. Trabajar con otra u otras personas en la realización de una obra.
colar,1. tr. Conferir canónicamente un beneficio eclesiástico.
colgar,1. tr. Suspender algo o a alguien sin que llegue al suelo. U. t. c. prnl. Colgarse de una cuerda.
colmar,"1. tr. Llenar una medida, un cajón, un cesto, etc., de modo que lo que se echa en ellos exceda su capacidad y levante más que los bordes."
